feature,importance_mean,importance_std
int_rate,0.004271105654778706,0.0009533311534218214
dti,0.004271105654778706,0.0009533311534218214
home_ownership_RENT,0.003321551408480783,0.001900056238608337
funded_amnt,0.0023682202550589617,0.0015013842160477033
inq_last_6mths,0.0023644433479350635,0.0
grade_F,0.0023644433479350635,0.0
mort_acc,0.0018953315854719488,0.00177544964802222
open_acc,0.0018915546783480508,0.0009457773391740253
fico_range_high,0.0014224429158849361,0.0018981677885476095
mo_sin_rcnt_tl,0.0014186660087610382,0.0011583359456317712
home_ownership_MORTGAGE,0.0014186660087610382,0.0011583359456317712
issue_d,0.0014186660087610382,0.0011583359456317712
avg_cur_bal,0.0014186660087610382,0.0011583359456317712
bc_open_to_buy,0.0014186660087610382,0.0011583359456317712
revol_util,0.0009457773391740254,0.0011583359456317712
revol_bal,0.0009457773391740254,0.0011583359456317712
mths_since_recent_bc,0.0009457773391740254,0.0011583359456317712
annual_inc,0.0009457773391740254,0.0011583359456317712
bc_util,0.0004728886695870127,0.0009457773391740254
mo_sin_old_rev_tl_op,0.0004728886695870127,0.0009457773391740255
grade_D,0.0004728886695870127,0.0009457773391740255
purpose_medical,0.0,0.0
purpose_small_business,0.0,0.0
purpose_vacation,0.0,0.0
purpose_wedding,0.0,0.0
sub_grade_G4,0.0,0.0
purpose_renewable_energy,0.0,0.0
purpose_other,0.0,0.0
purpose_moving,0.0,0.0
sub_grade_G3,0.0,0.0
sub_grade_G2,0.0,0.0
sub_grade_G5,0.0,0.0
purpose_major_purchase,0.0,0.0
sub_grade_A1,0.0,0.0
purpose_house,0.0,0.0
zip_code,0.0,0.0
purpose_home_improvement,0.0,0.0
purpose_debt_consolidation,0.0,0.0
purpose_credit_card,0.0,0.0
purpose_car,0.0,0.0
pub_rec_bankruptcies,0.0,0.0
tax_liens,0.0,0.0
sub_grade_A2,0.0,0.0
sub_grade_G1,0.0,0.0
sub_grade_A3,0.0,0.0
sub_grade_F5,0.0,0.0
sub_grade_F4,0.0,0.0
sub_grade_F3,0.0,0.0
sub_grade_F2,0.0,0.0
sub_grade_F1,0.0,0.0
sub_grade_E5,0.0,0.0
sub_grade_E4,0.0,0.0
sub_grade_E3,0.0,0.0
sub_grade_E2,0.0,0.0
sub_grade_E1,0.0,0.0
sub_grade_D5,0.0,0.0
sub_grade_D4,0.0,0.0
sub_grade_D3,0.0,0.0
sub_grade_D2,0.0,0.0
sub_grade_D1,0.0,0.0
sub_grade_C5,0.0,0.0
sub_grade_C4,0.0,0.0
sub_grade_C3,0.0,0.0
sub_grade_C2,0.0,0.0
sub_grade_C1,0.0,0.0
sub_grade_B5,0.0,0.0
sub_grade_B4,0.0,0.0
pub_rec,0.0,0.0
sub_grade_B2,0.0,0.0
sub_grade_B1,0.0,0.0
sub_grade_A5,0.0,0.0
sub_grade_A4,0.0,0.0
sub_grade_B3,0.0,0.0
mo_sin_rcnt_rev_tl_op,0.0,0.0
num_rev_accts,0.0,0.0
emp_title_foreman_branch_store,0.0,0.0
emp_title_teacher_machine_chief,0.0,0.0
emp_title_administrator_administrative_store,0.0,0.0
emp_title_project_program_vice,0.0,0.0
emp_title_customer_service_server,0.0,0.0
emp_title_owner_clerk_server,0.0,0.0
emp_title_supervisor_superintendent_service,0.0,0.0
emp_title_maintenance_superintendent_financial,0.0,0.0
emp_title_driver_truck_server,0.0,0.0
emp_title_manager_program_vice,0.0,0.0
emp_title_nurse_vice_server,0.0,0.0
emp_title_other_vice_clerk,0.0,0.0
emp_length_1_year,0.0,0.0
num_il_tl,0.0,0.0
emp_length_9_years,0.0,0.0
emp_length_8_years,0.0,0.0
emp_length_7_years,0.0,0.0
emp_length_6_years,0.0,0.0
emp_length_5_years,0.0,0.0
emp_length_4_years,0.0,0.0
emp_length_3_years,0.0,0.0
emp_length_2_years,0.0,0.0
emp_length_10_years,0.0,0.0
emp_length_1_year,0.0,0.0
delinq_2yrs,0.0,0.0
emp_title_administrative_representative_assistant,0.0,0.0
emp_title_officer_police_office,0.0,0.0
emp_title_electrician_technician_mechanic,0.0,0.0
emp_title_office_officer_vice,0.0,0.0
num_bc_tl,0.0,0.0
num_actv_bc_tl,0.0,0.0
loan_duration,0.0,0.0
home_ownership_OWN,0.0,0.0
grade_G,0.0,0.0
grade_E,0.0,0.0
grade_C,0.0,0.0
grade_B,0.0,0.0
grade_A,0.0,0.0
emp_title_attorney_operator_machine,0.0,0.0
emp_title_paralegal_controller_sales,0.0,0.0
emp_title_sales_manager_vice,0.0,0.0
emp_title_engineer_clerk_machine,0.0,0.0
emp_title_assistant_vice_store,0.0,0.0
emp_title_operations_vice_operator,0.0,0.0
emp_title_executive_chief_vice,0.0,0.0
emp_title_business_financial_analyst,0.0,0.0
emp_title_assistant_executive_representative,0.0,0.0
emp_title_accountant_consultant_account,0.0,0.0
emp_title_president_vice_representative,0.0,0.0
emp_title_general_vice_manager,0.0,0.0
emp_title_director_store_vice,0.0,0.0
emp_title_software_vice_engineer,0.0,0.0
Pct_afro_american,0.0,0.0
